Author_Name,Author_ID
A. Vasiliev,145854446
Tadashi Watanabe,2110691302
Toru Yamamoto,2111261944
Toshihisa Yamamoto,2111262115
Hongye Cao,1657314875
L. Han,2152246105
Liangzhi Li,47681301
Wei Zou,2057328995
G. Zhu,1753960
Hai Xu,145802910
Mengyuan Zhu,8185181
Yunlin Zhang,2108141523
B. Qin,1722849
T. Yan,36467307
Xiao-dong Li,2144442537
Zhijun Tan,144631193
Rencheng Yu,15998254
Jing Zou,2114314218
Tao Xu,2118716898
Tao Yang,2122901752
Xin Zheng,2110135814
Zhenya Li,49969709
Youwei Qin,30785961
R. Ghasemlounia,107815224
Amin Gharehbaghi,70898080
F. Ahmadi,80088096
Hamid Saadatnejadgharahassanlou,89705184
Maryam R. Al Shehhi,3759389
Abdullah Kaya,1379643773
Bowen Li,2145532710
S. Rangarajan,35065995
Di Wu,145200191
Xiaolong Wang,2145747765
Shaocong Wu,2112538764
D. Marković,123119395
D. Vujičić,40986551
S. Tanasković,49945825
Borislav Dordevic,2122689270
S. Randjić,2675825
Z. Stamenkovic,1687828
Lu Cheng,2110453967
Qing-Hao Meng,52195177
A. Lilienthal,1679825
Pei-Feng Qi,3457966
Claudia Gonzalez Viejo,13288046
E. Tongson,30772377
S. Fuentes,145298798
Thenmozhi Kasinathan,2004411423
Srinivasulu Reddy Uyyala,2004406548
M. Preti,90840339
F. Verheggen,6826614
S. Angeli,46838992
Wanling Yuan,2114109506
Bo Xu,2112878769
Gang Ran,152982726
Hui-ping Chen,1995326277
Pengyue Zhao,11708599
Qiliang Huang,145796596
Koushik Banerjee,143800077
P. Krishnan,153321611
Bappa Das,20588026
Zebus Sehar,89651050
Badar Jahan,67254110
Asim Masood,37186724
N. Anjum,5510924
N. Khan,145131904
I. Milosavljević,12643077
C. Hoddle,4289135
A. Mafra‐Neto,1398774501
Francesc Gómez-Marco,2333113321
M. Hoddle,3688542
Beant Singh,1964887627
P. Jasrotia,26957174
Steven E. Zhang,2116047177
J. Bourdeau,1970873187
G. Nwaila,107675320
D. Corrigan,1936452
L. Ashwal,8481348
L. Tolmay,97842915
H. Frimmel,39892854
V. Balaram,9194825
D. Lebel,145811538
M. Manzi,46192370
C. Dohm,49903330
R. Durrheim,9648517
M. Burnett,144084630
M. B. McClenaghan,144626588
R. Paulen,103966639
I. Kjarsgaard,96700657
Omer Sagi,2066733832
L. Rokach,1732091
N. Wodicka,104283675
C. McFarlane,67249568
I. Lafrance,104737005
D. V. Rooyen,104850674
D. Bandyayera,100508500
C. Bilodeau,104982685
Xiaoming Yuan,102951761
Jiahui Chen,2135668371
Jiayu Yang,2110690491
Ning Zhang,2153011952
Tingting Yang,2149250486
Tao Han,2075302618
Amirhosein Taherkordi,2848485
Taiyu Zhu,51169745
Lei Kuang,2000551091
J. Daniels,2058420597
P. Herrero,32043548
